epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.92288,0.62559,0.81609,1,0.40489,0.000234338,0.000234338,0.000234338
2,13.6517,0.37434,0.91954,1,0.25463,0.000448958,0.000448958,0.000448958
3,20.0866,0.27623,0.94253,1,0.24851,0.000640015,0.000640015,0.000640015
4,26.5134,0.26469,0.95019,1,0.25267,0.000607971,0.000607971,0.000607971
5,32.8532,0.25704,0.94253,1,0.23001,0.000572628,0.000572628,0.000572628
6,39.6123,0.22917,0.9387,1,0.23142,0.000537285,0.000537285,0.000537285
7,46.1391,0.19936,0.95785,1,0.20612,0.000501942,0.000501942,0.000501942
8,52.6795,0.21479,0.96169,1,0.19666,0.000466599,0.000466599,0.000466599
9,59.0295,0.20591,0.96169,1,0.17031,0.000431256,0.000431256,0.000431256
10,65.4412,0.16537,0.96169,1,0.18566,0.000395913,0.000395913,0.000395913
11,72.1132,0.1874,0.96552,1,0.21652,0.00036057,0.00036057,0.00036057
12,78.4413,0.19698,0.96169,1,0.19783,0.000325227,0.000325227,0.000325227
13,84.7736,0.17956,0.96169,1,0.34955,0.000289884,0.000289884,0.000289884
14,91.1524,0.1814,0.96552,1,0.21306,0.000254541,0.000254541,0.000254541
15,97.5784,0.17188,0.96552,1,0.20276,0.000219198,0.000219198,0.000219198
16,103.925,0.17802,0.96552,1,0.20725,0.000183855,0.000183855,0.000183855
17,110.539,0.15931,0.96552,1,0.20573,0.000148512,0.000148512,0.000148512
18,116.952,0.15693,0.96935,1,0.24095,0.000113169,0.000113169,0.000113169
19,123.343,0.17342,0.96935,1,0.20483,7.7826e-05,7.7826e-05,7.7826e-05
20,129.693,0.14454,0.96935,1,0.19468,4.2483e-05,4.2483e-05,4.2483e-05
